invoice_no,invoice_date,customer_id,gender,age,category,quantity,selling_price_per_unit,cost_price_per_unit,payment_method,region,state,shopping_mall
I218590,10/30/2016 10:13,C224743,Female,29,Cosmetics,4,162.64,130.112,Debit Card,West,California,Metropol AVM
I181109,10/30/2016 10:13,C119549,Male,22,Toys,3,107.52,80.64,Cash,West,Oregon,Mall of Istanbul
I221715,10/30/2016 10:13,C187266,Female,63,Food & Beverage,3,15.69,10.983,Cash,Central,Illinois,Istinye Park
I204979,10/30/2016 10:13,C173084,Female,24,Souvenir,5,58.65,43.9875,Debit Card,West,Arizona,Istinye Park
I115146,10/30/2016 10:14,C126956,Female,24,Cosmetics,5,203.3,162.64,Cash,West,Arizona,Metrocity
I883721,10/30/2016 10:14,C236859,Female,44,Technology,5,5250,4725,Credit Card,South,Virginia,Mall of Istanbul
I402376,10/30/2016 10:14,C309926,Male,34,Shoes,5,3000.85,2700.765,Cash,East,New York,Viaport Outlet
I251356,10/30/2016 10:14,C493252,Female,47,Cosmetics,4,162.64,130.112,Cash,Central,Michigan,Kanyon
I292239,10/30/2016 10:14,C109871,Male,38,Food & Beverage,5,26.15,19.6125,Cash,South,Tennessee,Mall of Istanbul
I276526,10/30/2016 10:15,C136117,Female,57,Shoes,5,3000.85,2700.765,Debit Card,South,Tennessee,Zorlu Center
I260525,10/30/2016 10:15,C258404,Male,67,Toys,3,107.52,80.64,Cash,South,Tennessee,Zorlu Center
I870944,10/30/2016 10:15,C169749,Male,41,Souvenir,3,35.19,24.633,Credit Card,Central,Texas,Istinye Park
I739573,10/30/2016 10:15,C199947,Female,40,Clothing,5,1500.4,1425.38,Debit Card,Central,Texas,Kanyon
I115870,10/30/2016 10:16,C135790,Female,69,Shoes,4,2400.68,2280.646,Cash,Central,Texas,Metrocity
I190444,10/30/2016 10:16,C606418,Female,47,Food & Beverage,5,26.15,19.6125,Cash,Central,Texas,Mall of Istanbul
I309552,10/30/2016 10:16,C111611,Female,53,Food & Beverage,4,20.92,15.69,Credit Card,South,Alabama,Istinye Park
I306076,10/30/2016 10:16,C679476,Male,40,Toys,2,71.68,50.176,Cash,South,Alabama,Zorlu Center
I321683,10/30/2016 10:17,C542025,Male,60,Cosmetics,4,162.64,130.112,Credit Card,West,Oregon,Metrocity
I151332,10/30/2016 10:17,C168491,Male,30,Souvenir,2,23.46,16.422,Cash,West,Oregon,Kanyon
I340014,10/30/2016 10:17,C169650,Female,66,Clothing,2,600.16,450.12,Credit Card,South,North Carolina,Istinye Park
I249424,10/30/2016 10:17,C158160,Male,22,Food & Beverage,1,5.23,3.661,Cash,Central,Illinois,Mall of Istanbul
I227716,10/30/2016 10:18,C552345,Male,53,Food & Beverage,2,10.46,7.322,Cash,South,Alabama,Kanyon
I140663,10/30/2016 10:18,C218383,Female,52,Clothing,5,1500.4,1425.38,Cash,Central,Iowa,Zorlu Center
I253242,10/30/2016 10:18,C309438,Male,26,Shoes,5,3000.85,2700.765,Cash,Central,Iowa,Mall of Istanbul
I108359,10/30/2016 10:18,C253905,Male,66,Food & Beverage,1,5.23,3.661,Cash,Central,Texas,Zorlu Center
I195567,10/30/2016 10:18,C992677,Male,65,Clothing,4,1200.32,1140.304,Debit Card,West,Oregon,Metropol AVM
I289643,10/30/2016 10:19,C584700,Female,43,Technology,2,2100,1890,Cash,West,Oregon,Kanyon
I722319,10/30/2016 10:19,C157070,Female,59,Toys,1,35.84,25.088,Debit Card,West,Oregon,Kanyon
I317105,10/30/2016 10:19,C177975,Female,30,Souvenir,5,58.65,43.9875,Debit Card,Central,Iowa,Kanyon
I215721,10/30/2016 10:19,C830576,Female,25,Cosmetics,2,81.32,56.924,Debit Card,Central,Iowa,Metrocity
I154469,10/30/2016 10:20,C807389,Female,29,Toys,3,107.52,80.64,Debit Card,Central,Iowa,Mall of Istanbul
I172458,10/30/2016 10:20,C277842,Female,19,Clothing,2,600.16,450.12,Debit Card,West,Oregon,Istinye Park
I297270,10/30/2016 10:20,C183011,Male,62,Clothing,5,1500.4,1425.38,Credit Card,East,New York,Metropol AVM
I153930,10/30/2016 10:20,C567813,Male,39,Food & Beverage,3,15.69,10.983,Cash,West,Oregon,Viaport Outlet
I282854,10/30/2016 10:21,C282974,Female,33,Clothing,3,900.24,675.18,Cash,Central,Iowa,Kanyon
